1, 832.506086,-1565229484.390435,290.728196
2, 413.923453,-1565229775.119441,144.366675
5, 199.596829,-1565229919.486837,68.950764
10, 120.708764,-1565229988.438313,41.796040
20, 85.871835,-1565230030.235071,29.248186
30, 63.528251,-1565230059.483920,20.976339
40, 55.649562,-1565230080.460994,17.635874
50, 40.684067,-1565230098.097662,13.463037
60, 35.258010,-1565230111.561483,11.472862
70, 32.780239,-1565230123.035052,10.495823
80, 29.947272,-1565230133.531581,9.145453
90, 25.699484,-1565230142.678465,8.267477
100, 25.463963,-1565230150.946727,7.745751
